Breed,Year,Count
Beagle,1930,2694
Bedlington Terrier,1930,16
Belgian Sheepdog,1930,14
Bloodhound,1930,67
Border Terrier,1930,5
Borzoi,1930,197
Boston Terrier,1930,10501
Boxer,1930,11
Briard,1930,13
Brussels Griffon,1930,49
Bull Terrier,1930,267
Bulldog,1930,1202
Cairn Terrier,1930,348
Chihuahua,1930,146
Chow Chow,1930,3782
Collie,1930,1493
Dachshund,1930,167
Dalmatian,1930,77
Dandie Dinmont Terrier,1930,17
Doberman Pinscher,1930,581
English Toy Spaniel (Blenheim and Prince Charles),1930,98
Fox Terrier,1930,4659
American Foxhound,1930,5
French Bulldog,1930,275
German Shepherd,1930,4786
Giant Schnauzer,1930,47
Great Dane,1930,561
Greyhound,1930,25
Irish Terrier,1930,629
Irish Wolfhound,1930,98
Italian Greyhound,1930,3
Japanese Chin,1930,130
Keeshond,1930,18
Kerry Blue Terrier,1930,119
Maltese,1930,17
Manchester Terrier,1930,170
Mastiff,1930,11
Miniature Pinscher,1930,26
Miniature Schnauzer,1930,84
Newfoundland,1930,117
Norwegian Elkhound,1930,37
Old English Sheepdog,1930,52
Otterhound,1930,4
Papillon,1930,16
Pekingese,1930,3352
Pointer,1930,233
German Shorthaired Pointer,1930,6
Pomeranian,1930,1498
Poodle,1930,50
Pug,1930,41
Chesapeake Bay Retriever,1930,82
Curly-Coated Retriever,1930,37
Saint Bernard,1930,263
Saluki,1930,33
Samoyed,1930,146
Schipperke,1930,97
Scottish Deerhound,1930,7
Scottish Terrier,1930,1996
Sealyham Terrier,1930,362
English Setter,1930,517
Gordon Setter,1930,57
Irish Setter,1930,701
Shetland Sheepdog,1930,28
Siberian Husky,1930,24
Skye Terrier,1930,2
Clumber Spaniel,1930,2
Spaniel (All Cockers),1930,2654
English Springer Spaniel,1930,1317
Irish Water Spaniel,1930,20
Standard Schnauzer,1930,224
Welsh Terrier,1930,93
West Highland White Terrier,1930,80
Whippet,1930,54
Wirehaired Pointing Griffon,1930,6
Yorkshire Terrier,1930,67
Eskimo,1930,8
Airedale Terrier,1931,412
Basset Hound,1931,34
Beagle,1931,2598
Bedlington Terrier,1931,17
Belgian Sheepdog,1931,6
Bloodhound,1931,64
Borzoi,1931,147
Boston Terrier,1931,10590
Bouvier des Flandres,1931,2
Boxer,1931,24
Briard,1931,8
Brussels Griffon,1931,57
Bull Terrier,1931,247
Bulldog,1931,1119
Cairn Terrier,1931,347
Chihuahua,1931,131
Chow Chow,1931,3644
Collie,1931,1156
Dachshund,1931,391
Dalmatian,1931,93
Dandie Dinmont Terrier,1931,10
Doberman Pinscher,1931,654
English Toy Spaniel (Blenheim and Prince Charles),1931,66
