Breed,Year,Count
Fox Terrier,1930,4659.0
American Foxhound,1930,5.0
French Bulldog,1930,275.0
German Shepherd,1930,4786.0
Giant Schnauzer,1930,47.0
Great Dane,1930,561.0
Greyhound,1930,25.0
Irish Terrier,1930,629.0
Irish Wolfhound,1930,98.0
Italian Greyhound,1930,3.0
Japanese Chin,1930,130.0
Keeshond,1930,18.0
Kerry Blue Terrier,1930,119.0
Maltese,1930,17.0
Manchester Terrier-XX,1930,19.0
Manchester Terrier (Toy),1930,151.0
Manchester Terrier,1930,170.0
Mastiff,1930,11.0
Miniature Pinscher,1930,26.0
Miniature Schnauzer,1930,84.0
Newfoundland,1930,117.0
Norwegian Elkhound,1930,37.0
Old English Sheepdog,1930,52.0
Otterhound,1930,4.0
Papillon,1930,16.0
Pekingese,1930,3352.0
Pointer,1930,233.0
German Shorthaired Pointer,1930,6.0
Pomeranian,1930,1498.0
Poodle (miniature),1930,34.0
Poodle (toy),1930,16.0
Poodle,1930,50.0
Pug,1930,41.0
Chesapeake Bay Retriever,1930,82.0
Curly-Coated Retriever,1930,37.0
Saint Bernard,1930,263.0
Saluki,1930,33.0
Samoyed,1930,146.0
Schipperke,1930,97.0
Scottish Deerhound,1930,7.0
Scottish Terrier,1930,1996.0
Sealyham Terrier,1930,362.0
English Setter,1930,517.0
Gordon Setter,1930,57.0
Irish Setter,1930,701.0
Shetland Sheepdog,1930,28.0
Siberian Husky,1930,24.0
Skye Terrier,1930,2.0
Clumber Spaniel,1930,2.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1930,2654.0
Spaniel (All Cockers),1930,2654.0
English Springer Spaniel,1930,1317.0
Irish Water Spaniel,1930,20.0
Standard Schnauzer,1930,224.0
Welsh Terrier,1930,93.0
West Highland White Terrier,1930,80.0
Whippet,1930,54.0
Wirehaired Pointing Griffon,1930,6.0
Yorkshire Terrier,1930,67.0
Eskimo,1930,8.0
Airedale Terrier,1931,412.0
Basset Hound,1931,34.0
Beagle,1931,2598.0
Bedlington Terrier,1931,17.0
Belgian Sheepdog,1931,6.0
Bloodhound,1931,64.0
Borzoi,1931,147.0
Boston Terrier,1931,10590.0
Bouvier des Flandres,1931,2.0
Boxer,1931,24.0
Briard,1931,8.0
Brussels Griffon,1931,57.0
Bull Terrier,1931,247.0
Bulldog,1931,1119.0
Cairn Terrier,1931,347.0
Chihuahua,1931,131.0
Chow Chow,1931,3644.0
Collie,1931,1156.0
Dachshund-XX  (long-haired),1931,18.0
Daschund-XX (smooth),1931,331.0
Daschund-XX (wire-haired),1931,24.0
Dachshund,1931,373.0
